avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_prop_logits,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
114870888.0,0.0,0.0,0.45231640338897705,0.0,19.719999313354492,0.031000906601548195,0.0,0.756784434203789,0.0,0.0,0.0,3.2060737527114966,0.7622485817431666,2684.876708984375,-22974367744.0,461.0,0.0,0.0,0.0,1.0,1.0
151055216.0,0.0,0.0,0.45407408475875854,0.0,18.639999389648438,0.028525564819574356,0.0,0.7946748591909882,0.0,0.0,0.0,4.06282722513089,0.8024819027921406,2439.24951171875,-30211208192.0,382.0,0.0,0.0,0.0,1.0,1.0
84449688.0,0.0,0.0,0.45628753304481506,0.0,18.389999389648438,0.030582573264837265,0.0,0.7908163265306123,0.0,0.0,0.0,3.914141414141414,0.7965056526207606,2204.623046875,-16890104832.0,396.0,0.0,0.0,0.0,1.0,1.0
67358712.0,0.0,0.0,0.4526575803756714,0.0,17.600000381469727,0.030405810102820396,0.0,0.7814263724987173,0.0,0.0,0.0,3.6435406698564594,0.7846470891293148,2296.22802734375,-13471911424.0,418.0,0.0,0.0,0.0,1.0,1.0
69416112.0,0.0,0.0,0.45630383491516113,0.0,19.59000015258789,0.026554221287369728,0.0,0.7752057613168725,0.0,0.0,0.0,3.5458823529411765,0.7800207039337475,2406.190673828125,-13883394048.0,425.0,0.0,0.0,0.0,1.0,1.0
55530712.0,0.0,0.0,0.4539496600627899,0.0,16.280000686645508,0.029345232993364334,0.0,0.7885714285714286,0.0,0.0,0.0,3.9023136246786634,0.7960146827477713,2241.09765625,-11106306560.0,389.0,0.0,0.0,0.0,1.0,1.0
61673584.0,0.0,0.0,0.45278891921043396,0.0,17.059999465942383,0.028665121644735336,0.0,0.7728215767634855,0.0,0.0,0.0,3.4976525821596245,0.7776617954070981,2233.65234375,-12334889984.0,426.0,0.0,0.0,0.0,1.0,1.0
64551056.0,0.0,0.0,0.4551684558391571,0.0,17.360000610351562,0.028971662744879723,0.0,0.7834787070292457,0.0,0.0,0.0,3.7063106796116503,0.7875193398659103,2263.056884765625,-12910381568.0,412.0,0.0,0.0,0.0,1.0,1.0
133818944.0,0.0,0.0,0.45265623927116394,0.0,20.420000076293945,0.029741480946540833,0.0,0.7659137577002053,0.0,0.0,0.0,3.383219954648526,0.7718572167615106,2505.207763671875,-26763967488.0,441.0,0.0,0.0,0.0,1.0,1.0
74653048.0,0.0,0.0,0.45429518818855286,0.0,19.170000076293945,0.027685487642884254,0.0,0.7756047349459598,0.0,0.0,0.0,3.640096618357488,0.784487246225924,2478.5556640625,-14930781184.0,414.0,0.0,0.0,0.0,1.0,1.0
62810216.0,0.0,0.0,0.4523237645626068,0.0,17.829999923706055,0.024433143436908722,0.0,0.781025641025641,0.0,0.0,0.0,3.7604938271604937,0.7899377593360996,2617.167236328125,-12562210304.0,405.0,0.0,0.0,0.0,1.0,1.0
64778728.0,0.0,0.0,0.4591570198535919,0.0,18.34000015258789,0.026963282376527786,0.0,0.7800103039670273,0.0,0.0,0.0,3.8040201005025125,0.7918410041841004,2469.08837890625,-12955912192.0,398.0,0.0,0.0,0.0,1.0,1.0
55162972.0,0.0,0.0,0.45492857694625854,0.0,18.709999084472656,0.03082842007279396,0.0,0.7917098445595855,0.0,0.0,0.0,4.021052631578947,0.80083857442348,2342.36181640625,-11032756224.0,380.0,0.0,0.0,0.0,1.0,1.0
59017036.0,0.0,0.0,0.45295584201812744,0.0,17.520000457763672,0.030297761783003807,0.0,0.7814432989690722,0.0,0.0,0.0,3.715686274509804,0.7879417879417879,2054.33984375,-11803575808.0,408.0,0.0,0.0,0.0,1.0,1.0
59058520.0,0.0,126235.328125,0.4555129110813141,0.0,18.899999618530273,0.03051534853875637,0.0,0.7944785276073619,0.0,0.0,0.0,4.089473684210526,0.8035160289555325,2308.602783203125,-11811868160.0,380.0,0.0,0.0,0.0,1.0,1.0
65915024.0,0.0,126235.328125,0.4579942226409912,0.0,18.510000228881836,0.028542637825012207,0.0,0.7689119170984456,0.0,0.0,0.0,3.5165876777251186,0.7785939139559287,2180.9716796875,-13183178752.0,422.0,0.0,0.0,0.0,1.0,1.0
52822876.0,0.0,126235.328125,0.45606303215026855,0.0,17.639999389648438,0.0286733265966177,0.0,0.7767393561786086,0.0,0.0,0.0,3.6938271604938273,0.7869542346133613,2311.0673828125,-10564747264.0,405.0,0.0,0.0,0.0,1.0,1.0
55248104.0,0.0,126235.328125,0.4581822156906128,0.0,15.9399995803833,0.02831905148923397,0.0,0.8192090395480226,0.0,0.0,0.0,4.775449101796407,0.8268532918610679,2459.9013671875,-11049776128.0,334.0,0.0,0.0,0.0,1.0,1.0
55269200.0,0.0,126235.328125,0.4537133276462555,0.0,18.260000228881836,0.026476824656128883,0.0,0.8072783188108662,0.0,0.0,0.0,4.375,0.813953488372093,2452.0615234375,-11053999104.0,360.0,0.0,0.0,0.0,1.0,1.0
84488592.0,0.0,126235.328125,0.45858609676361084,0.0,18.6200008392334,0.0245533287525177,0.0,0.7720286885245902,0.0,0.0,0.0,3.6666666666666665,0.7857142857142857,2463.822265625,-16897886720.0,411.0,0.0,0.0,0.0,1.0,1.0
66596096.0,0.0,126235.328125,0.4579465389251709,0.0,17.68000030517578,0.028058107942342758,0.0,0.7846470891293148,0.0,0.0,0.0,3.678743961352657,0.7862674238513164,2277.4384765625,-13319391232.0,414.0,0.0,0.0,0.0,1.0,1.0
75193552.0,0.0,126235.328125,0.45787012577056885,0.0,19.84000015258789,0.02701137401163578,0.0,0.772680412371134,0.0,0.0,0.0,3.5775656324582337,0.7815432742440042,2329.023681640625,-15038884352.0,419.0,0.0,0.0,0.0,1.0,1.0
89921864.0,0.0,126235.328125,0.46099936962127686,0.0,21.270000457763672,0.025973249226808548,0.0,0.7783426537874937,0.0,0.0,0.0,3.6365795724465557,0.7843237704918032,2095.333251953125,-17984545792.0,421.0,0.0,0.0,0.0,1.0,1.0
85106712.0,0.0,126235.328125,0.4558274745941162,0.0,20.309999465942383,0.024026071652770042,0.0,0.7794268167860798,0.0,0.0,0.0,3.669879518072289,0.7858617131062952,2580.75146484375,-17021513216.0,415.0,0.0,0.0,0.0,1.0,1.0
107109168.0,0.0,126235.328125,0.4565073251724243,0.0,20.479999542236328,0.03024463728070259,0.0,0.7600205549845838,0.0,0.0,0.0,3.3235955056179773,0.7687110187110187,2488.42822265625,-21422014464.0,445.0,0.0,0.0,0.0,1.0,1.0
78337272.0,0.0,126235.328125,0.4552684724330902,0.0,17.219999313354492,0.02797158993780613,0.0,0.7810894141829393,0.0,0.0,0.0,3.753086419753086,0.7896103896103897,2447.86328125,-15667625472.0,405.0,0.0,0.0,0.0,1.0,1.0
82986824.0,0.0,126235.328125,0.4576680660247803,0.0,19.739999771118164,0.02380306087434292,0.0,0.7903885480572597,0.0,0.0,0.0,3.904040404040404,0.796086508753862,2339.14111328125,-16597533696.0,396.0,0.0,0.0,0.0,1.0,1.0
76921072.0,0.0,126235.328125,0.45980069041252136,0.0,19.34000015258789,0.02907472290098667,0.0,0.7831881086622245,0.0,0.0,0.0,3.7359413202933984,0.78884873515746,2279.707763671875,-15384384512.0,409.0,0.0,0.0,0.0,1.0,1.0
90746064.0,0.0,126235.328125,0.4548355042934418,0.0,20.530000686645508,0.02545534074306488,0.0,0.7565351101998975,0.0,0.0,0.0,3.2017353579175705,0.7620030975735673,2363.040283203125,-18149394432.0,461.0,0.0,0.0,0.0,1.0,1.0
96655184.0,0.0,103170.3515625,0.4575756788253784,0.0,21.209999084472656,0.02700500562787056,0.0,0.7552269250382458,0.0,0.0,0.0,3.262114537444934,0.765374677002584,2467.2578125,-19331220480.0,454.0,0.0,0.0,0.0,1.0,1.0
76513480.0,0.0,103170.3515625,0.4555378258228302,0.0,18.709999084472656,0.02980910614132881,0.0,0.7671092951991828,0.0,0.0,0.0,3.421412300683371,0.773827923750644,2406.835205078125,-15302870016.0,439.0,0.0,0.0,0.0,1.0,1.0
51715180.0,0.0,103170.3515625,0.45891010761260986,0.0,16.56999969482422,0.023777389898896217,0.0,0.8173469387755102,0.0,0.0,0.0,4.8108108108108105,0.827906976744186,2590.902587890625,-10343188992.0,333.0,0.0,0.0,0.0,1.0,1.0
78178184.0,0.0,103170.3515625,0.4567112624645233,0.0,20.719999313354492,0.0270001832395792,0.0,0.7791474062660503,0.0,0.0,0.0,3.6291866028708135,0.7839793281653746,2375.807373046875,-15635809792.0,418.0,0.0,0.0,0.0,1.0,1.0
49349744.0,0.0,103170.3515625,0.4606107771396637,0.0,15.729999542236328,0.02147822640836239,0.0,0.7816683831101957,0.0,0.0,0.0,3.8045112781954886,0.7918622848200313,2415.75732421875,-9870115840.0,399.0,0.0,0.0,0.0,1.0,1.0
88451920.0,0.0,103170.3515625,0.45647522807121277,0.0,19.229999542236328,0.02819155529141426,0.0,0.7816326530612245,0.0,0.0,0.0,3.764127764127764,0.7900979886539453,2082.548828125,-17690555392.0,407.0,0.0,0.0,0.0,1.0,1.0
53133512.0,0.0,103170.3515625,0.4583718180656433,0.0,17.1299991607666,0.025556091219186783,0.0,0.7774922918807811,0.0,0.0,0.0,3.6992665036674817,0.7872008324661811,2426.89306640625,-10626872320.0,409.0,0.0,0.0,0.0,1.0,1.0
66927952.0,0.0,103170.3515625,0.4561086595058441,0.0,18.520000457763672,0.02747286856174469,0.0,0.7723283427981414,0.0,0.0,0.0,3.52,0.7787610619469026,2562.571044921875,-13385765376.0,425.0,0.0,0.0,0.0,1.0,1.0
72588952.0,0.0,103170.3515625,0.4564025104045868,0.0,19.1200008392334,0.02768603526055813,0.0,0.7755844155844156,0.0,0.0,0.0,3.597590361445783,0.7824947589098532,2279.097412109375,-14517960704.0,415.0,0.0,0.0,0.0,1.0,1.0
76456848.0,0.0,103170.3515625,0.4581051766872406,0.0,18.420000076293945,0.02220749855041504,0.0,0.7835475578406169,0.0,0.0,0.0,3.7536945812807883,0.7896373056994819,2810.7421875,-15291539456.0,406.0,0.0,0.0,0.0,1.0,1.0
69470952.0,0.0,103170.3515625,0.457830011844635,0.0,17.040000915527344,0.025145500898361206,0.0,0.8019397651863196,0.0,0.0,0.0,4.2806539509536785,0.8106295149638802,2472.091064453125,-13894350848.0,367.0,0.0,0.0,0.0,1.0,1.0
74242272.0,0.0,103170.3515625,0.4576667845249176,0.0,18.389999389648438,0.024254249408841133,0.0,0.7608695652173914,0.0,0.0,0.0,3.340909090909091,0.7696335078534031,2177.1611328125,-14848630784.0,440.0,0.0,0.0,0.0,1.0,1.0
66815804.0,0.0,103170.3515625,0.45373857021331787,0.0,18.139999389648438,0.02556273341178894,0.0,0.7655601659751037,0.0,0.0,0.0,3.4166666666666665,0.7735849056603774,2481.904296875,-13363335168.0,432.0,0.0,0.0,0.0,1.0,1.0
79857768.0,0.0,103170.3515625,0.456574410200119,0.0,19.299999237060547,0.02575850486755371,0.0,0.7614107883817427,0.0,0.0,0.0,3.3137697516930023,0.7681841967556253,2219.699462890625,-15971729408.0,443.0,0.0,0.0,0.0,1.0,1.0
101775280.0,0.0,103170.3515625,0.4585402309894562,0.0,20.18000030517578,0.02562141977250576,0.0,0.773469387755102,0.0,0.0,0.0,3.6095238095238096,0.7830578512396694,2466.029296875,-20355229696.0,420.0,0.0,0.0,0.0,1.0,1.0
77156184.0,0.0,130624.625,0.4557732343673706,0.0,17.399999618530273,0.03227684274315834,0.0,0.778063851699279,0.0,0.0,0.0,3.6322115384615383,0.7841203943954334,2183.967041015625,-15431407104.0,416.0,0.0,0.0,0.0,1.0,1.0
110086984.0,0.0,130624.625,0.4557165205478668,0.0,19.1299991607666,0.027639642357826233,0.0,0.7692307692307693,0.0,0.0,0.0,3.5952380952380953,0.7823834196891192,2134.2294921875,-22017571840.0,420.0,0.0,0.0,0.0,1.0,1.0
93764472.0,0.0,130624.625,0.4547656774520874,0.0,20.829999923706055,0.026944633573293686,0.0,0.7579979360165119,0.0,0.0,0.0,3.2937219730941703,0.7671018276762402,2291.985107421875,-18753075200.0,446.0,0.0,0.0,0.0,1.0,1.0
71325376.0,0.0,130624.625,0.4568438231945038,0.0,18.59000015258789,0.02427099086344242,0.0,0.7914110429447853,0.0,0.0,0.0,3.979434447300771,0.799173980382034,2372.231201171875,-14265240064.0,389.0,0.0,0.0,0.0,1.0,1.0
113150904.0,0.0,130624.625,0.4555305242538452,0.0,20.3700008392334,0.029797222465276718,0.0,0.7689161554192229,0.0,0.0,0.0,3.4416475972540046,0.7748583204533745,2431.599365234375,-22630353920.0,437.0,0.0,0.0,0.0,1.0,1.0
85189536.0,0.0,130624.625,0.4605117440223694,0.0,19.899999618530273,0.02570556104183197,0.0,0.7701736465781409,0.0,0.0,0.0,3.5233644859813085,0.7789256198347108,2502.045166015625,-17038080000.0,428.0,0.0,0.0,0.0,1.0,1.0
