avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
62736024.0,0.0,0.0,0.0,15.859999656677246,0.0,0.0,0.7776041666666667,0.0,0.0,0.0,3.5889423076923075,0.7820848611838659,2079.57470703125,-12963291648.0,416.0,0.0,0.0,0.0,1.0,1.0
58476996.0,0.0,0.0,0.0,16.40999984741211,0.0,0.0,0.7893374741200828,0.0,0.0,0.0,3.91025641025641,0.7963446475195822,2287.765625,-12153116160.0,390.0,0.0,0.0,0.0,1.0,1.0
108057624.0,0.0,665.01171875,0.0,19.540000915527344,0.0,0.0,0.7613636363636364,0.0,0.0,0.0,3.304932735426009,0.7677083333333333,2276.517578125,-22067007488.0,446.0,0.0,0.0,0.0,1.0,1.0
104748336.0,0.0,665.01171875,0.0,18.360000610351562,0.0,0.0,0.7882051282051282,0.0,0.0,0.0,3.8813131313131315,0.7951370926021728,2086.181396484375,-21367072768.0,396.0,0.0,0.0,0.0,1.0,1.0
153567696.0,0.0,665.01171875,0.0,20.8700008392334,0.0,0.0,0.7564766839378239,0.0,0.0,0.0,3.2882882882882885,0.7668067226890757,2508.696533203125,-31215458304.0,444.0,0.0,0.0,0.0,1.0,1.0
88235784.0,0.0,283.5139465332031,0.0,17.93000030517578,0.0,0.0,0.7865572088250384,0.0,0.0,0.0,3.7665847665847667,0.7902061855670103,2368.733642578125,-18121074688.0,407.0,0.0,0.0,0.0,1.0,1.0
84399456.0,0.0,283.5139465332031,0.0,17.479999542236328,0.0,0.0,0.8066838046272493,0.0,0.0,0.0,4.286885245901639,0.8108527131782945,2433.57470703125,-17366766592.0,366.0,0.0,0.0,0.0,1.0,1.0
49443680.0,0.0,193.32736206054688,0.0,14.8100004196167,0.0,0.0,0.8176197836166924,0.0,0.0,0.0,4.82370820668693,0.8282881002087683,2522.267822265625,-10393344512.0,329.0,0.0,0.0,0.0,1.0,1.0
76854128.0,0.0,193.32736206054688,0.0,17.459999084472656,0.0,0.0,0.8181352459016393,0.0,0.0,0.0,4.975077881619938,0.8326381647549531,2362.215576171875,-15843420160.0,321.0,0.0,0.0,0.0,1.0,1.0
79412472.0,0.0,193.32736206054688,0.0,15.710000038146973,0.0,0.0,0.8103536647872885,0.0,0.0,0.0,4.478753541076487,0.8174767321613237,2498.568359375,-16382368256.0,353.0,0.0,0.0,0.0,1.0,1.0
49621140.0,0.0,183.9096221923828,0.0,16.290000915527344,0.0,0.0,0.8437815975733064,0.0,0.0,0.0,5.715753424657534,0.8510963793982662,2415.013671875,-10407375872.0,292.0,0.0,0.0,0.0,1.0,1.0
42527600.0,0.0,183.9096221923828,0.0,15.949999809265137,0.0,0.0,0.8260204081632653,0.0,0.0,0.0,4.891238670694864,0.8302564102564103,2302.72119140625,-8966219264.0,331.0,0.0,0.0,0.0,1.0,1.0
52984396.0,0.0,61.557838439941406,0.0,13.6899995803833,0.0,0.0,0.8439425051334702,0.0,0.0,0.0,5.829787234042553,0.8535825545171339,2327.127685546875,-11062448640.0,282.0,0.0,0.0,0.0,1.0,1.0
30883770.0,0.0,61.557838439941406,0.0,11.979999542236328,0.0,0.0,0.8682328907048008,0.0,0.0,0.0,6.8,0.8717948717948718,2435.574462890625,-6664006400.0,250.0,0.0,0.0,0.0,1.0,1.0
34097804.0,0.0,61.557838439941406,0.0,13.829999923706055,0.0,0.0,0.8538461538461538,0.0,0.0,0.0,6.306818181818182,0.8631415241057543,2308.001708984375,-7281302528.0,264.0,0.0,0.0,0.0,1.0,1.0
31880176.0,0.0,49.820030212402344,0.0,12.970000267028809,0.0,0.0,0.8537084398976982,0.0,0.0,0.0,6.113553113553113,0.8594232749742533,2182.160888671875,-6812611584.0,273.0,0.0,0.0,0.0,1.0,1.0
32611922.0,0.0,49.820030212402344,0.0,14.260000228881836,0.0,0.0,0.8461145194274029,0.0,0.0,0.0,5.827464788732394,0.8535327488396081,2256.09521484375,-6973748480.0,284.0,0.0,0.0,0.0,1.0,1.0
41703636.0,0.0,57.807132720947266,0.0,13.260000228881836,0.0,0.0,0.8646578140960164,0.0,0.0,0.0,6.691699604743083,0.8699897225077081,2032.735595703125,-8747414016.0,253.0,0.0,0.0,0.0,1.0,1.0
21498296.0,0.0,57.807132720947266,0.0,11.300000190734863,0.0,0.0,0.896357106208312,0.0,0.0,0.0,9.05181347150259,0.9005154639175258,2144.7578125,-4728739072.0,193.0,0.0,0.0,0.0,1.0,1.0
28058060.0,0.0,57.807132720947266,0.0,12.550000190734863,0.0,0.0,0.8824130879345603,0.0,0.0,0.0,7.953917050691245,0.8883170355120947,1763.8348388671875,-5964512000.0,217.0,0.0,0.0,0.0,1.0,1.0
16899498.0,0.0,41.51747512817383,0.0,12.279999732971191,0.0,0.0,0.8932926829268293,0.0,0.0,0.0,9.301587301587302,0.9029275808936826,2069.3125,-3793890432.0,189.0,0.0,0.0,0.0,1.0,1.0
14254651.0,0.0,41.51747512817383,0.0,9.890000343322754,0.0,0.0,0.889974293059126,0.0,0.0,0.0,8.655,0.8964267219057483,2160.03662109375,-3283066880.0,200.0,0.0,0.0,0.0,1.0,1.0
24646234.0,0.0,41.51747512817383,0.0,10.899999618530273,0.0,0.0,0.8812691914022518,0.0,0.0,0.0,7.791855203619909,0.8862583633556356,2065.619140625,-5342504192.0,221.0,0.0,0.0,0.0,1.0,1.0
10032020.0,0.0,20.560077667236328,0.0,11.369999885559082,0.0,0.0,0.889739663093415,0.0,0.0,0.0,8.544117647058824,0.8952234206471494,1709.900146484375,-2348514816.0,204.0,0.0,0.0,0.0,1.0,1.0
12013586.0,0.0,20.560077667236328,0.0,9.369999885559082,0.0,0.0,0.9035402770651616,0.0,0.0,0.0,10.358823529411765,0.9119627136198861,1862.996826171875,-2775441024.0,170.0,0.0,0.0,0.0,1.0,1.0
9014145.0,0.0,12.522944450378418,0.0,8.079999923706055,0.0,0.0,0.9043701799485862,0.0,0.0,0.0,10.10919540229885,0.9099844800827729,1941.23681640625,-2191202176.0,174.0,0.0,0.0,0.0,1.0,1.0
14308485.0,0.0,12.522944450378418,0.0,9.609999656677246,0.0,0.0,0.8895140664961637,0.0,0.0,0.0,8.482926829268292,0.8945473251028807,1644.6824951171875,-3190764800.0,205.0,0.0,0.0,0.0,1.0,1.0
20445902.0,0.0,12.522944450378418,0.0,7.75,0.0,0.0,0.9038854805725971,0.0,0.0,0.0,9.767955801104973,0.9071318624935865,1812.4683837890625,-4451801088.0,181.0,0.0,0.0,0.0,1.0,1.0
6407067.5,0.0,11.994772911071777,0.0,8.1899995803833,0.0,0.0,0.9114770972722593,0.0,0.0,0.0,10.668674698795181,0.9143004646360351,1631.71533203125,-1607880640.0,166.0,0.0,0.0,0.0,1.0,1.0
9900025.0,0.0,11.994772911071777,0.0,9.399999618530273,0.0,0.0,0.9078411405295316,0.0,0.0,0.0,10.366279069767442,0.9120204603580563,1817.0694580078125,-2343544064.0,172.0,0.0,0.0,0.0,1.0,1.0
4344234.5,0.0,8.094892501831055,0.0,7.809999942779541,0.0,0.0,0.9354674796747967,0.0,0.0,0.0,15.735042735042734,0.9402451481103167,1978.6651611328125,-1264696512.0,117.0,0.0,0.0,0.0,1.0,1.0
6507389.5,0.0,8.094892501831055,0.0,7.71999979019165,0.0,0.0,0.9265680775114737,0.0,0.0,0.0,12.886524822695035,0.9279877425944841,1773.26416015625,-1656249728.0,141.0,0.0,0.0,0.0,1.0,1.0
4088923.25,0.0,8.094892501831055,0.0,6.320000171661377,0.0,0.0,0.9313675648195221,0.0,0.0,0.0,13.98473282442748,0.9332654100866021,2047.3984375,-1227382784.0,131.0,0.0,0.0,0.0,1.0,1.0
3727503.0,0.0,3.335142135620117,0.0,5.949999809265137,0.0,0.0,0.9220846233230134,0.0,0.0,0.0,12.496503496503497,0.9259067357512953,2012.0797119140625,-1148036800.0,143.0,0.0,0.0,0.0,1.0,1.0
2477718.25,0.0,3.335142135620117,0.0,5.920000076293945,0.0,0.0,0.9441624365482234,0.0,0.0,0.0,18.235294117647058,0.9480122324159022,1789.5032958984375,-853558528.0,102.0,0.0,0.0,0.0,1.0,1.0
4177138.5,0.0,2.5921170711517334,0.0,6.539999961853027,0.0,0.0,0.9263585576434739,0.0,0.0,0.0,14.03076923076923,0.9334698055271239,2020.43115234375,-1239632448.0,130.0,0.0,0.0,0.0,1.0,1.0
1366806.25,0.0,2.5921170711517334,0.0,5.380000114440918,0.0,0.0,0.9402451481103167,0.0,0.0,0.0,16.736363636363638,0.9436186570989237,2447.854736328125,-763047456.0,110.0,0.0,0.0,0.0,1.0,1.0
4757626.0,0.0,2.5921170711517334,0.0,6.929999828338623,0.0,0.0,0.9325842696629213,0.0,0.0,0.0,14.492063492063492,0.9354508196721312,1977.8834228515625,-1347219392.0,126.0,0.0,0.0,0.0,1.0,1.0
1099046.5,0.0,2.238981008529663,0.0,4.96999979019165,0.021997472271323204,0.0,0.939703628002044,0.0,0.0,0.0,16.13157894736842,0.9416282642089093,1903.72021484375,-600668800.0,114.0,0.0,0.0,0.0,1.0,1.0
1902027.625,0.0,2.238981008529663,0.0,6.230000019073486,0.026914972811937332,0.0,0.9300411522633745,0.0,0.0,0.0,13.593984962406015,0.9314786192684184,2249.1884765625,-830362400.0,133.0,0.0,0.0,0.0,1.0,1.0
3170899.75,0.0,2.238981008529663,0.0,6.570000171661377,0.027725469321012497,0.0,0.9493346980552713,0.0,0.0,0.0,19.526315789473685,0.9512820512820512,1770.4512939453125,-988383232.0,95.0,0.0,0.0,0.0,1.0,1.0
4572999.5,0.0,2.238981008529663,0.0,6.059999942779541,0.031187469139695168,0.0,0.922409392547218,0.0,0.0,0.0,13.18978102189781,0.9295267489711934,1968.5328369140625,-1308425984.0,137.0,0.0,0.0,0.0,1.0,1.0
-146959.5625,0.0,2.238981008529663,0.0,4.360000133514404,0.03071233257651329,0.0,0.9396419437340153,0.0,0.0,0.0,15.97391304347826,0.9410860655737705,1844.010498046875,-339526720.0,115.0,0.0,0.0,0.0,1.0,1.0
2358700.5,0.0,2.238981008529663,0.0,6.159999847412109,0.027144262567162514,0.0,0.9369554074833418,0.0,0.0,0.0,15.361344537815127,0.9388803287108372,1920.657470703125,-855987936.0,119.0,0.0,0.0,0.0,1.0,1.0
404806.875,0.0,2.238981008529663,0.0,4.190000057220459,0.02786536142230034,0.0,0.9526476578411406,0.0,0.0,0.0,21.261363636363637,0.955079122001021,1804.33203125,-441939552.0,88.0,0.0,0.0,0.0,1.0,1.0
1599361.125,0.0,2.238981008529663,0.0,4.320000171661377,0.029066001996397972,0.0,0.9426816786079836,0.0,0.0,0.0,16.89908256880734,0.9441312147616607,1712.0155029296875,-662390560.0,109.0,0.0,0.0,0.0,1.0,1.0
1268110.0,0.0,2.238981008529663,0.0,4.460000038146973,0.032032012939453125,0.0,0.9630379746835444,0.0,0.0,0.0,26.416666666666668,0.9635258358662614,1611.556396484375,-576042976.0,72.0,0.0,0.0,0.0,1.0,1.0
1730761.75,0.0,2.238981008529663,0.0,5.329999923706055,0.029431801289319992,0.0,0.9427987742594485,0.0,0.0,0.0,18.277227722772277,0.9481253210066769,1904.310546875,-727128160.0,101.0,0.0,0.0,0.0,1.0,1.0
914083.6875,0.0,2.238981008529663,0.0,4.449999809265137,0.02769770659506321,0.0,0.9327470253491982,0.0,0.0,0.0,13.976744186046512,0.9332298136645962,1937.18603515625,-570371904.0,129.0,0.0,0.0,0.0,1.0,1.0
1622710.875,0.0,2.238981008529663,0.0,4.519999980926514,0.032524604350328445,0.0,0.9521384928716904,0.0,0.0,0.0,20.54945054945055,0.9535951045385007,1666.9288330078125,-658040736.0,91.0,0.0,0.0,0.0,1.0,1.0
2084658.375,0.0,2.238981008529663,0.0,5.96999979019165,0.026316707953810692,0.0,0.9408493427704753,0.0,0.0,0.0,16.04310344827586,0.9413252402630248,1727.5245361328125,-762553536.0,116.0,0.0,0.0,0.0,1.0,1.0
2648212.75,0.0,2.238981008529663,0.0,6.150000095367432,0.02886074408888817,0.0,0.9339477726574501,0.0,0.0,0.0,15.327731092436975,0.9387545033453423,2068.249267578125,-943409312.0,119.0,0.0,0.0,0.0,1.0,1.0
102542.796875,0.0,2.238981008529663,0.0,4.440000057220459,0.0303232129663229,0.0,0.944557477110885,0.0,0.0,0.0,17.685714285714287,0.9464831804281345,1989.47998046875,-418519024.0,105.0,0.0,0.0,0.0,1.0,1.0
17355.01953125,0.0,2.238981008529663,0.0,3.880000114440918,0.028243670240044594,0.0,0.9480986639260021,0.0,0.0,0.0,18.45,0.9485861182519281,1832.7158203125,-370127824.0,100.0,0.0,0.0,0.0,1.0,1.0
1596847.25,0.0,2.238981008529663,0.0,5.46999979019165,0.026745831593871117,0.0,0.9423368740515933,0.0,0.0,0.0,18.445544554455445,0.9485743380855397,1540.5118408203125,-627585760.0,101.0,0.0,0.0,0.0,1.0,1.0
2059409.125,0.0,2.238981008529663,0.0,5.210000038146973,0.026236455887556076,0.0,0.9551706571574121,0.0,0.0,0.0,21.802325581395348,0.9561448240693524,1655.59033203125,-743112224.0,86.0,0.0,0.0,0.0,1.0,1.0
