avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,refine_delta_norm,refine_flip_rate,refine_grad,refine_kl_div,refine_q_imp,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
37269396.0,0.07473389059305191,0.0,0.0,21.530000686645508,0.03007473424077034,0.0,0.7365955231650182,0.0,0.0,0.0,3.043010752688172,0.7526595744680851,0.0,0.0,0.0,0.0,0.0,1874.293701171875,-7453879552.0,465.0,0.0,0.0,0.0,1.0,1.0
19076888.0,0.06268494576215744,0.0,0.0,21.209999084472656,0.030035804957151413,0.0,0.7684265551489806,0.0,0.0,0.0,3.4834123222748814,0.7769556025369979,0.0,0.0,0.0,0.0,0.0,2068.31494140625,-3815377280.0,422.0,0.0,0.0,0.0,1.0,1.0
22444642.0,0.050848428159952164,0.0,0.0,13.979999542236328,0.0356161929666996,0.0,0.8343848580441641,0.0,0.0,0.0,5.3076923076923075,0.8414634146341463,0.0,0.0,0.0,0.0,0.0,2516.77734375,-4488928512.0,299.0,0.0,0.0,0.0,1.0,1.0
24657316.0,0.04332594946026802,0.0,0.0,15.4399995803833,0.029567057266831398,0.0,0.8451579492490937,0.0,0.0,0.0,5.589041095890411,0.8482328482328483,0.0,0.0,0.0,0.0,0.0,2142.8388671875,-4931462656.0,292.0,0.0,0.0,0.0,1.0,1.0
35015348.0,0.03415699675679207,0.0,0.0,19.0,0.03140747919678688,0.0,0.7974293059125964,0.0,0.0,0.0,4.169354838709677,0.8065522620904836,0.0,0.0,0.0,0.0,0.0,2587.194580078125,-7003069184.0,372.0,0.0,0.0,0.0,1.0,1.0
20167880.0,0.029066691175103188,0.0,0.0,15.59000015258789,0.03049934282898903,0.0,0.804416403785489,0.0,0.0,0.0,4.513274336283186,0.8186195826645265,0.0,0.0,0.0,0.0,0.0,2457.15185546875,-4033576064.0,339.0,0.0,0.0,0.0,1.0,1.0
27393838.0,0.02732088416814804,0.0,0.0,18.760000228881836,0.02637832798063755,0.0,0.7715494447382337,0.0,0.0,0.0,3.638403990024938,0.7844086021505376,0.0,0.0,0.0,0.0,0.0,1813.275390625,-5478767872.0,401.0,0.0,0.0,0.0,1.0,1.0
27911110.0,0.025288181379437447,0.0,0.0,14.699999809265137,0.03207140415906906,0.0,0.8245521601685986,0.0,0.0,0.0,4.905956112852665,0.8306794055201698,0.0,0.0,0.0,0.0,0.0,2764.26708984375,-5582222080.0,319.0,0.0,0.0,0.0,1.0,1.0
40738336.0,0.023972446098923683,0.0,0.0,19.389999389648438,0.0287467148154974,0.0,0.7399056109071841,0.0,0.0,0.0,3.0673913043478263,0.7541421699625869,0.0,0.0,0.0,0.0,0.0,1983.16162109375,-8147667456.0,460.0,0.0,0.0,0.0,1.0,1.0
41586740.0,0.02443268708884716,0.0,0.0,16.829999923706055,0.03033033013343811,0.0,0.7931034482758621,0.0,0.0,0.0,4.193370165745856,0.8074468085106383,0.0,0.0,0.0,0.0,0.0,2085.805908203125,-8317348096.0,362.0,0.0,0.0,0.0,1.0,1.0
