episode,avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,lower_reward,qos_rate,qos_success_rate,total_energy,total_reward,total_success_qos,total_violate_qos,total_violations,upper_q_max,upper_q_mean,upper_q_min,upper_reward,zeta_lower,zeta_upper
26,138539168.00000000,0.02272586,11.14538209,0,0,0,0.46950000,0,0,0,-13854319251.56250000,2.80314970,0.73706007,3444.34169960,-27708270835.06250000,2848.00000000,1016.00000000,1016,0,0,0,-13853951583.50000000,1.00000000,1.00000000
27,124351744.00000000,0.02272035,9.92514836,0,0,0,0.43350000,0,0,0,-12435603335.87500000,2.58752322,0.72125614,3201.84155369,-24870810254.81250000,2779.00000000,1074.00000000,1074,0,0,0,-12435206918.93750000,1.00000000,1.00000000
28,121263864.00000000,0.02286269,9.49553350,0,0,0,0.46950000,0,0,0,-12126783071.00000000,2.82772279,0.73874807,2841.45069695,-24253196737.87500000,2856.00000000,1010.00000000,1010,0,0,0,-12126413666.87500000,1.00000000,1.00000000
29,143455072.00000000,0.02260113,9.28814562,0,0.03962192,0,0.46500000,0,0,0,-14345910564.12500000,2.77330709,0.73498052,3159.15168953,-41598543769.12500000,2826.00000000,1019.00000000,1019,0,0,0,-27252633205.00000000,1.00000000,1.00000000
30,142416032.00000000,0.02328521,8.96315775,0,0.03771241,0,0.45900000,0,0,0,-14242015528.00000000,2.76441836,0.73435473,3178.60036802,-42725287382.00000000,2828.00000000,1023.00000000,1023,0,0,0,-28483271854.00000000,1.00000000,1.00000000
31,128611408.00000000,0.02299519,8.65416425,0,0.03968711,0,0.45100000,0,0,0,-12861552809.00000000,2.67809534,0.72812015,3314.76653671,-38583901370.00000000,2812.00000000,1050.00000000,1050,0,0,0,-25722348561.00000000,1.00000000,1.00000000
32,143170544.00000000,0.02325279,9.12605570,0,0.03622280,0,0.46450000,0,0,0,-14317458117.00000000,2.78740168,0.73596674,3163.08630753,-42951627902.00000000,2832.00000000,1016.00000000,1016,0,0,0,-28634169785.00000000,1.00000000,1.00000000
33,111344888.00000000,0.02309806,8.50121394,0,0.03488963,0,0.49450000,0,0,0,-11134868176.73242188,3.02079010,0.75129265,3288.53126049,-33403909604.33789062,2906.00000000,962.00000000,962,0,0,0,-22269041427.60546875,1.00000000,1.00000000
34,131939040.00000000,0.02317002,8.35863355,0,0.03651950,0,0.48050000,0,0,0,-13194295119.75000000,2.96082473,0.74752730,2993.24399090,-39582163258.75000000,2872.00000000,970.00000000,970,0,0,0,-26387868139.00000000,1.00000000,1.00000000
35,112669088.00000000,0.02314907,8.72644351,0,0.03935022,0,0.44750000,0,0,0,-11267338852.57812500,2.66034150,0.72680146,3160.31939125,-33801224313.32812500,2804.00000000,1054.00000000,1054,0,0,0,-22533885460.75000000,1.00000000,1.00000000
36,123448624.00000000,0.02249107,8.70540451,0,0.03361013,0,0.47900000,0,0,0,-12345247507.00000000,2.94285703,0.74637681,2845.12337780,-37035029016.50000000,2884.00000000,980.00000000,980,0,0,0,-24689781509.50000000,1.00000000,1.00000000
37,106896872.00000000,0.02279303,8.66128708,0,0.03122623,0,0.46100000,0,0,0,-10690084400.00000000,2.80514336,0.73719782,3204.29704189,-32069522747.00000000,2836.00000000,1011.00000000,1011,0,0,0,-21379438347.00000000,1.00000000,1.00000000
38,124776744.00000000,0.02267237,8.81772438,0,0.03002373,0,0.45400000,0,0,0,-12478085431.00000000,2.72550917,0.73158032,3174.42949772,-37433498013.00000000,2810.00000000,1031.00000000,1031,0,0,0,-24955412582.00000000,1.00000000,1.00000000
39,126724168.00000000,0.02276483,8.79688899,0,0.03868821,0,0.46550000,0,0,0,-12672812970.87500000,2.81602383,0.73794711,3052.07564068,-38017706941.62500000,2847.00000000,1011.00000000,1011,0,0,0,-25344893970.75000000,1.00000000,1.00000000
40,110634560.00000000,0.02331112,8.82395377,0,0.03289846,0,0.49600000,0,0,0,-11063831620.87500000,3.04612160,0.75284976,3202.07737541,-33190806324.37500000,2906.00000000,954.00000000,954,0,0,0,-22126974703.50000000,1.00000000,1.00000000
41,128525336.00000000,0.02263873,8.80608817,0,0.03743974,0,0.47650000,0,0,0,-12852915651.50000000,2.91405463,0.74451047,2694.24059105,-38558035104.00000000,2882.00000000,989.00000000,989,0,0,0,-25705119452.50000000,1.00000000,1.00000000
42,113392416.00000000,0.02313857,9.56924792,0,0.02765881,0,0.44450000,0,0,0,-11339668515.09375000,2.66159701,0.72689509,3472.98623371,-34018225031.65625000,2800.00000000,1052.00000000,1052,0,0,0,-22678556516.56250000,1.00000000,1.00000000
43,123914984.00000000,0.02270992,9.22216132,0,0.03552827,0,0.46450000,0,0,0,-12391895781.50000000,2.81324100,0.73775589,2953.71978474,-37174953516.25000000,2847.00000000,1012.00000000,1012,0,0,0,-24783057734.75000000,1.00000000,1.00000000
44,131281440.00000000,0.02301282,9.10728194,0,0.03132425,0,0.42500000,0,0,0,-13128577677.75000000,2.52973461,0.71669257,2934.38112402,-39384924942.00000000,2765.00000000,1093.00000000,1093,0,0,0,-26256347264.25000000,1.00000000,1.00000000
45,102167504.00000000,0.02259927,9.63361766,0,0.02988770,0,0.46800000,0,0,0,-10217138749.62500000,2.85288262,0.74045408,3004.24397659,-30650699960.50000000,2870.00000000,1006.00000000,1006,0,0,0,-20433561210.87500000,1.00000000,1.00000000
46,93254224.00000000,0.02274063,9.17551902,0,0.03165680,0,0.46700000,0,0,0,-9325826869.50000000,2.81200790,0.73767108,3100.04944229,-27976735241.00000000,2857.00000000,1016.00000000,1016,0,0,0,-18650908371.50000000,1.00000000,1.00000000
47,96311064.00000000,0.02334140,9.35839152,0,0.03253893,0,0.48600000,0,0,0,-9631486217.37500000,2.94897962,0.74677002,2678.81082916,-28893752576.62500000,2890.00000000,980.00000000,980,0,0,0,-19262266359.25000000,1.00000000,1.00000000
48,92963192.00000000,0.02258853,9.45280105,0,0.03165645,0,0.51650000,0,0,0,-9296675174.42187500,3.24478602,0.76441687,2765.70589447,-27889371679.79687500,2956.00000000,911.00000000,911,0,0,0,-18592696505.37500000,1.00000000,1.00000000
49,110598680.00000000,0.02287094,9.75479445,0,0.03109037,0,0.46350000,0,0,0,-11060269474.25000000,2.80689645,0.73731881,3022.16817951,-33180062858.12500000,2849.00000000,1015.00000000,1015,0,0,0,-22119793383.87500000,1.00000000,1.00000000
50,111681928.00000000,0.02241240,9.62517686,0,0.03562043,0,0.47700000,0,0,0,-11168580443.50000000,2.87562680,0.74197721,2956.68367863,-33505021677.00000000,2867.00000000,997.00000000,997,0,0,0,-22336441233.50000000,1.00000000,1.00000000
51,115923456.00000000,0.02287506,9.99395770,0,0.03053212,0,0.46600000,0,0,0,-11592738168.68750000,2.79565644,0.73654097,2872.84150171,-34777487043.56250000,2832.00000000,1013.00000000,1013,0,0,0,-23184748874.87500000,1.00000000,1.00000000
52,116615608.00000000,0.02282105,9.87886278,0,0.02973943,0,0.51150000,0,0,0,-11661924566.25000000,3.19021749,0.76134890,3237.90304661,-34985112936.75000000,2935.00000000,920.00000000,920,0,0,0,-23323188370.50000000,1.00000000,1.00000000
53,126737944.00000000,0.02262762,9.92907823,0,0.03242751,0,0.48750000,0,0,0,-12674175346.00000000,2.96707821,0.74792528,3136.11134815,-38021826077.00000000,2884.00000000,972.00000000,972,0,0,0,-25347650731.00000000,1.00000000,1.00000000
54,138124128.00000000,0.02285460,10.33372919,0,0.02729375,125.89935684,0.48250000,0,0,0,-13812794998.25000000,2.93442631,0.74583334,2941.79924679,-41437679846.75000000,2864.00000000,976.00000000,976,0,0,0,-27624884848.50000000,1.00000000,1.00000000
55,96785104.00000000,0.02280006,10.22345931,0,0.02970885,116.84272461,0.47250000,0,0,0,-9678906923.62500000,2.88698292,0.74273103,3227.80354595,-29035990153.12500000,2861.00000000,991.00000000,991,0,0,0,-19357083229.50000000,1.00000000,1.00000000
56,98880632.00000000,0.02307532,10.94730725,0,0.03243787,108.72101822,0.49650000,0,0,0,-9888437641.75000000,3.05888534,0.75362694,3211.72184229,-29664627968.00000000,2909.00000000,951.00000000,951,0,0,0,-19776190326.25000000,1.00000000,1.00000000
57,108220280.00000000,0.02242589,10.55321096,0,0.03096191,121.01058960,0.45750000,0,0,0,-10822439346.81250000,2.73892093,0.73254317,3189.84650326,-32466558516.81250000,2843.00000000,1038.00000000,1038,0,0,0,-21644119170.00000000,1.00000000,1.00000000
58,98370272.00000000,0.02236127,10.76884952,0,0.02750863,112.49824295,0.47950000,0,0,0,-9837409459.25000000,2.91565037,0.74461460,3059.88762093,-29511525070.75000000,2869.00000000,984.00000000,984,0,0,0,-19674115611.50000000,1.00000000,1.00000000
59,112522680.00000000,0.02277533,11.23759829,0,0.02845163,112.22824707,0.48750000,0,0,0,-11252649755.50000000,2.98251033,0.74890208,3046.95278549,-33757243930.84375000,2899.00000000,972.00000000,972,0,0,0,-22504594175.34375000,1.00000000,1.00000000
60,96211384.00000000,0.02272583,10.96990589,0,0.03272561,106.80681610,0.49700000,0,0,0,-9621513224.50000000,3.04592896,0.75283796,3301.52672386,-28863853968.12500000,2918.00000000,958.00000000,958,0,0,0,-19242340743.62500000,1.00000000,1.00000000
61,86638528.00000000,0.02287152,11.35783575,0,0.03131640,113.75675049,0.52000000,0,0,0,-8664200806.37500000,3.23458147,0.76384914,3283.90499783,-25991970791.96875000,2937.00000000,908.00000000,908,0,0,0,-17327769985.59375000,1.00000000,1.00000000
62,94969384.00000000,0.02292987,10.93111065,0,0.02637199,119.79824066,0.53600000,0,0,0,-9497271173.75000000,3.41331792,0.77341312,2834.00566053,-28491203635.25000000,2973.00000000,871.00000000,871,0,0,0,-18993932461.50000000,1.00000000,1.00000000
63,105842872.00000000,0.02240532,11.38892608,0,0.02954396,112.83328629,0.50950000,0,0,0,-10584645358.50000000,3.19109654,0.76139897,2904.20744038,-31753279700.50000000,2939.00000000,921.00000000,921,0,0,0,-21168634342.00000000,1.00000000,1.00000000
64,80575240.00000000,0.02239448,11.39307869,0,0.02827344,107.69817886,0.47550000,0,0,0,-8057909056.39062500,2.88844228,0.74282759,2903.60676575,-24173016551.39062500,2874.00000000,995.00000000,995,0,0,0,-16115107495.00000000,1.00000000,1.00000000
65,110187592.00000000,0.02276138,11.40518021,0,0.03093822,105.08081818,0.48350000,0,0,0,-11019140006.72656250,2.97139931,0.74819958,3399.08259106,-33056727426.41406250,2909.00000000,979.00000000,979,0,0,0,-22037587419.68750000,1.00000000,1.00000000
66,106932320.00000000,0.02319189,11.43437326,0,0.03040772,108.62536011,0.48550000,0,0,0,-10693607612.87500000,2.94871783,0.74675328,3231.10416698,-32080134105.12500000,2875.00000000,975.00000000,975,0,0,0,-21386526492.25000000,1.00000000,1.00000000
67,96389896.00000000,0.02296958,10.97432955,0,0.02933060,106.97865982,0.48450000,0,0,0,-9639384099.60937500,2.93089437,0.74560499,3266.05899811,-28917429335.73437500,2884.00000000,984.00000000,984,0,0,0,-19278045236.12500000,1.00000000,1.00000000
68,111654104.00000000,0.02246129,11.74731670,0,0.03072787,115.72312164,0.48250000,0,0,0,-11165795684.87500000,2.93279028,0.74572760,3162.33247566,-33496678262.25000000,2880.00000000,982.00000000,982,0,0,0,-22330882577.37500000,1.00000000,1.00000000
69,98468248.00000000,0.02248628,11.79848280,0,0.03037264,104.66192322,0.52250000,0,0,0,-9847178758.40234375,3.24505496,0.76443177,3173.06237698,-29540893596.97265625,2953.00000000,910.00000000,910,0,0,0,-19693714838.57031250,1.00000000,1.00000000
70,89205832.00000000,0.02265766,12.20862657,0,0.02650098,114.70689850,0.53950000,0,0,0,-8920927037.25000000,3.41163063,0.77332646,3208.47167397,-26762155931.87500000,2992.00000000,877.00000000,877,0,0,0,-17841228894.62500000,1.00000000,1.00000000
71,80800160.00000000,0.02227375,12.32564369,0,0.02920964,109.77378922,0.47700000,0,0,0,-8080404768.87500000,2.86532664,0.74128968,3194.64202309,-24240501188.62500000,2851.00000000,995.00000000,995,0,0,0,-16160096419.75000000,1.00000000,1.00000000
72,94583848.00000000,0.02218499,11.92119343,0,0.02734416,107.91119614,0.50550000,0,0,0,-9458753138.12500000,3.10487294,0.75638711,3261.49329185,-28375586556.12500000,2931.00000000,944.00000000,944,0,0,0,-18916833418.00000000,1.00000000,1.00000000
73,103519824.00000000,0.02248388,11.57745971,0,0.03020964,97.04412231,0.50500000,0,0,0,-10352345941.43750000,3.13169169,0.75796837,3099.72913837,-31056370132.18750000,2925.00000000,934.00000000,934,0,0,0,-20704024190.75000000,1.00000000,1.00000000
74,120519896.00000000,0.02284600,11.68082063,0,0.03104005,104.51081314,0.49000000,0,0,0,-12052368740.62500000,2.98760319,0.74922282,3285.74132156,-36156413196.87500000,2892.00000000,968.00000000,968,0,0,0,-24104044456.25000000,1.00000000,1.00000000
75,96268584.00000000,0.02314849,11.88268830,0,0.02849273,110.50532990,0.50350000,0,0,0,-9627224005.81250000,3.08130932,0.75498062,2907.31308317,-28881000422.81250000,2918.00000000,947.00000000,947,0,0,0,-19253776417.00000000,1.00000000,1.00000000
76,97464528.00000000,0.02230197,12.83351654,0,0.02856051,105.97536545,0.48450000,0,0,0,-9746835617.00000000,2.90020156,0.74360299,2973.34824276,-29239800925.00000000,2877.00000000,992.00000000,992,0,0,0,-19492965308.00000000,1.00000000,1.00000000
77,106328600.00000000,0.02294587,13.16710771,0,0.02637386,101.74076309,0.49850000,0,0,0,-10633233447.43750000,2.98035169,0.74876589,3084.52723217,-31899015498.93750000,2882.00000000,967.00000000,967,0,0,0,-21265782051.50000000,1.00000000,1.00000000
78,93280248.00000000,0.02207026,12.84344495,0,0.02383456,100.71932678,0.49800000,0,0,0,-9328396891.37500000,3.05252099,0.75324005,2733.73534298,-27984499461.62500000,2906.00000000,952.00000000,952,0,0,0,-18656102570.25000000,1.00000000,1.00000000
79,66514636.00000000,0.02250908,12.65444539,0,0.02142965,103.65959167,0.53450000,0,0,0,-6651807330.74218750,3.36076665,0.77068251,3163.78103018,-19954798211.77343750,2981.00000000,887.00000000,887,0,0,0,-13302990881.03125000,1.00000000,1.00000000
80,90777112.00000000,0.02272160,12.79433176,0,0.02653682,103.33546524,0.50250000,0,0,0,-9078087583.75000000,3.07911396,0.75484872,3263.32007265,-27233574797.25000000,2919.00000000,948.00000000,948,0,0,0,-18155487213.50000000,1.00000000,1.00000000
81,79458880.00000000,0.02207775,12.83425202,0,0.03261907,103.27195282,0.48700000,0,0,0,-7946276010.25000000,2.94785285,0.74669772,3304.36909294,-23838118075.75000000,2883.00000000,978.00000000,978,0,0,0,-15891842065.50000000,1.00000000,1.00000000
82,83462904.00000000,0.02214548,12.61271700,0,0.02598634,99.91331024,0.50400000,0,0,0,-8346651750.75000000,3.13641238,0.75824463,2831.95125675,-25039290240.75000000,2920.00000000,931.00000000,931,0,0,0,-16692638490.00000000,1.00000000,1.00000000
83,92916528.00000000,0.02228382,13.96247219,0,0.02797309,115.97833481,0.51950000,0,0,0,-9292007174.75000000,3.25578833,0.76502591,3148.78916645,-27875375812.25000000,2953.00000000,907.00000000,907,0,0,0,-18583368637.50000000,1.00000000,1.00000000
84,94160120.00000000,0.02240028,12.78728490,0,0.02675803,104.17293777,0.52200000,0,0,0,-9416356900.90625000,3.27161860,0.76589668,2683.23642159,-28248432763.21875000,2951.00000000,902.00000000,902,0,0,0,-18832075862.31250000,1.00000000,1.00000000
85,83809072.00000000,0.02229825,13.10265246,0,0.02952379,100.79843063,0.50550000,0,0,0,-8381272507.87500000,3.10223651,0.75623053,2960.24094677,-25143145490.37500000,2913.00000000,939.00000000,939,0,0,0,-16761872982.50000000,1.00000000,1.00000000
86,68982256.00000000,0.02238371,13.07093116,0,0.02684389,101.06952667,0.53150000,0,0,0,-6898567190.00000000,3.35095620,0.77016544,3129.15686226,-20695081662.50000000,2979.00000000,889.00000000,889,0,0,0,-13796514472.50000000,1.00000000,1.00000000
87,87614864.00000000,0.02292586,13.52156407,0,0.02775492,104.22069321,0.51850000,0,0,0,-8761842238.39062500,3.22672510,0.76341021,3281.43364716,-26284878905.04687500,2946.00000000,913.00000000,913,0,0,0,-17523036666.65625000,1.00000000,1.00000000
88,72347832.00000000,0.02230361,14.04248558,0,0.03251042,104.99823914,0.50800000,0,0,0,-7235144885.50000000,3.15840507,0.75952321,2978.02488995,-21704771546.50000000,2931.00000000,928.00000000,928,0,0,0,-14469626661.00000000,1.00000000,1.00000000
89,79653856.00000000,0.02234369,13.14589026,0,0.03069093,99.21407776,0.51550000,0,0,0,-7965740364.18750000,3.19389987,0.76155841,3199.12415695,-23896574283.81250000,2932.00000000,918.00000000,918,0,0,0,-15930833919.62500000,1.00000000,1.00000000
90,73791776.00000000,0.02289476,13.20269344,0,0.03433523,93.40064774,0.54450000,0,0,0,-7379515493.25000000,3.46349931,0.77596056,3434.45742607,-22137937923.75000000,2989.00000000,863.00000000,863,0,0,0,-14758422430.50000000,1.00000000,1.00000000
91,80725448.00000000,0.02268072,12.42618946,0,0.03154985,108.72511978,0.51650000,0,0,0,-8072899154.87500000,3.21748638,0.76289195,3041.99610233,-24218049056.37500000,2944.00000000,915.00000000,915,0,0,0,-16145149901.50000000,1.00000000,1.00000000
92,87053176.00000000,0.02262616,13.99259988,0,0.02459296,95.50564804,0.51250000,0,0,0,-8705680802.37500000,3.14163089,0.75854921,3376.07983971,-26116382903.00000000,2928.00000000,932.00000000,932,0,0,0,-17410702100.62500000,1.00000000,1.00000000
93,82072296.00000000,0.02285916,14.15582455,0,0.02745030,95.22624435,0.48100000,0,0,0,-8207628126.75000000,2.86540389,0.74129480,3025.25489616,-24622149933.75000000,2874.00000000,1003.00000000,1003,0,0,0,-16414521807.00000000,1.00000000,1.00000000
94,76669720.00000000,0.02294121,13.53112369,0,0.02533253,92.54965591,0.53100000,0,0,0,-7667315821.87500000,3.35480237,0.77036846,3228.49437904,-23001322588.12500000,2969.00000000,885.00000000,885,0,0,0,-15334006766.25000000,1.00000000,1.00000000
95,83457896.00000000,0.02242913,13.64423553,0,0.03271059,98.75793610,0.51800000,0,0,0,-8346144709.62500000,3.24175835,0.76424873,2999.48396492,-25037784069.12500000,2950.00000000,910.00000000,910,0,0,0,-16691639359.50000000,1.00000000,1.00000000
96,86188944.00000000,0.02241078,15.24455725,0,0.03057488,92.43901749,0.53400000,0,0,0,-8619231508.71093750,3.37570953,0.77146560,3152.02551270,-25857083047.72656250,2974.00000000,881.00000000,881,0,0,0,-17237851539.01562500,1.00000000,1.00000000
97,99184632.00000000,0.02261482,14.64927904,0,0.02790463,97.04588623,0.50050000,0,0,0,-9918823338.93750000,3.07438898,0.75456440,2727.01793265,-29755802076.43750000,2893.00000000,941.00000000,941,0,0,0,-19836978737.50000000,1.00000000,1.00000000
98,85708040.00000000,0.02235436,14.63436789,0,0.02756862,93.44173737,0.52600000,0,0,0,-8571152061.93750000,3.26910305,0.76575875,3147.81059170,-25712823262.68750000,2952.00000000,903.00000000,903,0,0,0,-17141671200.75000000,1.00000000,1.00000000
99,68900560.00000000,0.02204590,13.80219244,0,0.02925456,96.58686600,0.50950000,0,0,0,-6890415422.34375000,3.09797668,0.75597715,3016.03231525,-20670586813.71875000,2909.00000000,939.00000000,939,0,0,0,-13780171391.37500000,1.00000000,1.00000000
100,67842936.00000000,0.02177414,14.58008900,0,0.03002545,92.44884720,0.54700000,0,0,0,-6784620847.62500000,3.49069762,0.77731746,2888.55314732,-20353265635.12500000,3002.00000000,860.00000000,860,0,0,0,-13568644787.50000000,1.00000000,1.00000000
101,67303024.00000000,0.02211212,14.46443481,0,0.02510818,90.41712646,0.55250000,0,0,0,-6730641737.45312500,3.50581384,0.77806449,3274.47848511,-20191313680.23437500,3015.00000000,860.00000000,860,0,0,0,-13460671942.78125000,1.00000000,1.00000000
102,59789916.00000000,0.02243158,14.80456979,0,0.02518810,97.87789841,0.56750000,0,0,0,-5979308682.62500000,3.69062114,0.78680861,2882.20887947,-17937349583.62500000,3030.00000000,821.00000000,821,0,0,0,-11958040901.00000000,1.00000000,1.00000000
103,68090912.00000000,0.02227272,14.66398738,0,0.02871907,86.58202248,0.54850000,0,0,0,-6809430582.01855469,3.49303937,0.77743351,3103.59854603,-20427675482.06738281,3011.00000000,862.00000000,862,0,0,0,-13618244900.04882812,1.00000000,1.00000000
104,78217504.00000000,0.02193367,13.72301345,0,0.02729776,96.36185303,0.53150000,0,0,0,-7822090449.56250000,3.35900331,0.77058977,3001.78271866,-23465651613.68750000,2966.00000000,883.00000000,883,0,0,0,-15643561164.12500000,1.00000000,1.00000000
105,60942412.00000000,0.02201422,14.13586145,0,0.03215445,89.06516876,0.55950000,0,0,0,-6094562680.37500000,3.60838318,0.78300416,3207.39439392,-18283108303.50000000,3013.00000000,835.00000000,835,0,0,0,-12188545623.12500000,1.00000000,1.00000000
